title,link,source,published_date,snippet
"Q&A: What Is DeepSeek, the Bargain AI Roiling the Stock Market?",https://news.darden.virginia.edu/2025/01/29/qa-what-is-deepseek-the-bargain-ai-roiling-the-stock-market/,Darden Report Online,1 week ago,"January 29, 2025 Just a week or so ago, a little-known Chinese technology company called DeepSeek quietly debuted an artificial intelligence app."
What is DeepSeek and why is it disrupting the AI sector?,https://www.reuters.com/technology/artificial-intelligence/what-is-deepseek-why-is-it-disrupting-ai-sector-2025-01-27/,Reuters,1 week ago,"BEIJING, Jan 27 (Reuters) - Chinese startup DeepSeek's launch of its latest AI models, which it says are on a par or better than industry-leading models in..."
Q&A: DeepSeek AI assistant and the future of AI,https://www.psu.edu/news/research/story/qa-deepseek-ai-assistant-and-future-ai,Penn State University,6 days ago,"UNIVERSITY PARK, Pa. — News that artificial intelligence (AI) assistant DeepSeek can compete with models like ChatGPT and Gemini for a fraction of the cost..."
DeepSeek R1 is now available on Azure AI Foundry and GitHub,https://azure.microsoft.com/en-us/blog/deepseek-r1-is-now-available-on-azure-ai-foundry-and-github/,Microsoft Azure,1 week ago,"DeepSeek R1, available through the model catalog on Microsoft Azure AI Foundry and GitHub, enables businesses to seamlessly integrate advanced AI."
WashU Expert: How DeepSeek changes the AI industry,https://source.washu.edu/2025/02/washu-expert-how-deepseek-changes-the-ai-industry/,The Source | Washington University in St. Louis,3 days ago,DeepSeek AI surged in popularity in the past week after analysts showed that it was trained much more efficiently compared with models like Open AI ChatGPT...
"What is DeepSeek, the Chinese AI startup that shook the tech world?",https://www.cnn.com/2025/01/27/tech/deepseek-ai-explainer/index.html,CNN,1 week ago,"A surprisingly efficient and powerful Chinese AI model has taken the technology industry by storm. It's called DeepSeek R1, and it's rattling nerves on Wall..."
DeepSeek AI: How to try DeepSeek R1 right now,https://mashable.com/article/deepseek-ai-r1-how-to-try-iphone-desktop,Mashable,1 week ago,"A new super-powered, open-source AI model called DeepSeek R1 is rattling the industry this week, after it was unexpectedly dropped into the laps of..."
"What is DeepSeek, the Chinese AI company upending the stock market?",https://apnews.com/article/deepseek-ai-china-f4908eaca221d601e31e7e3368778030,AP News,1 week ago,A frenzy over an artificial intelligence chatbot made by Chinese tech startup DeepSeek was upending stock markets Monday and fueling debates over the...
Why DeepSeek’s AI Model Just Became the Top-Rated App in the U.S.,https://www.scientificamerican.com/article/why-deepseeks-ai-model-just-became-the-top-rated-app-in-the-u-s/,Scientific American,1 week ago,"A Chinese start-up has stunned the technology industry—and financial markets—with a cheaper, lower-tech AI assistant that matches the state of the art."
How DeepSeek’s AI Stacks Up Against OpenAI’s Model,https://www.wsj.com/articles/how-deepseeks-ai-stacks-up-against-openais-model-e938c3d6,WSJ,1 week ago,"It's impossible to look at the Chinese artificial intelligence startup DeepSeek's new AI model without comparing it against OpenAI, the dominant American..."
"What we know on DeepSeek AI: How it rivals ChatGPT, stock market impact, security concerns and more",https://www.nbcnews.com/tech/tech-news/deepseek-ai-model-china-chat-gpt-tech-stocks-what-know-rcna189604,NBC News,1 week ago,Chinese tech startup DeepSeek has come roaring into public view shortly after it released a model of its artificial intelligence service that seemingly is...
How Chinese AI Startup DeepSeek Made a Model that Rivals OpenAI,https://www.wired.com/story/deepseek-china-model-ai/,WIRED,2 weeks ago,"On January 20, DeepSeek, a relatively unknown AI research lab from China, released an open source model that's quickly become the talk of the town in Silicon..."
‘Game changer’? What ‘DeepSeek’ AI means for electricity.,https://www.eenews.net/articles/game-changer-what-deepseek-ai-means-for-electricity/,E&E News by POLITICO,1 week ago,"The emergence of Chinese artificial intelligence company DeepSeek is challenging conclusions about future electricity demand because of data centers,..."
Stunning breakthroughs from China's DeepSeek AI alarm U.S. rivals,https://www.axios.com/2025/01/27/deepseek-ai-model-china-openai-rival,Axios,1 week ago,"Breakthroughs from Chinese AI startup DeepSeek have stunned Silicon Valley and could bring turbulence to Wall Street, as they were accomplished at a..."
DeepSeek's AI claims have shaken the world — but not everyone's convinced,https://www.cnbc.com/2025/01/30/chinas-deepseek-has-some-big-ai-claims-not-all-experts-are-convinced-.html,CNBC,1 week ago,DeepSeek claims its R1 outperforms OpenAI's latest o1 model despite costing a fraction of the price the U.S. AI lab charges for its large language models.
DeepSeek sparks AI stock selloff; Nvidia posts record market-cap loss,https://www.reuters.com/technology/chinas-deepseek-sets-off-ai-market-rout-2025-01-27/,Reuters,1 week ago,Global investors are worried the emergence of a low-cost Chinese AI model will threaten the dominance of AI leaders.
Tech stocks fall as China's DeepSeek sparks U.S. worries about the AI race,https://www.nbcnews.com/business/markets/tech-stocks-react-chinas-deepseek-sparks-us-worries-ai-race-rcna189394,NBC News,1 week ago,"DeepSeek released an open-source artificial intelligence model in December, saying it took only two months and less than $6 million to create it."
"DeepSeek AI might be smarter than OpenAI's smartest AI, and you can try it out now",https://mashable.com/article/deepseek-ai-hands-on,Mashable,2 weeks ago,"China's AI company DeepSeek has launched its most capable LLM, DeepSeek R1, as a free web app for anyone to try out."
Microsoft rolls out DeepSeek's AI model on Azure,https://www.reuters.com/technology/artificial-intelligence/microsoft-rolls-out-deepseeks-ai-model-azure-2025-01-29/,Reuters,1 week ago,Microsoft has made Chinese startup DeepSeek's R1 artificial intelligence model available on its Azure cloud computing platform and GitHub tool for...
China's DeepSeek AI is watching what you type,https://www.nbcnews.com/tech/security/deepseek-ai-comes-data-safety-concerns-chatgpt-openai-rcna189521,NBC News,1 week ago,"The app collects data similar to what American-based AI models collect, but Chinese laws could make it more accessible to the government. China's DeepSeek..."
"Chips, China, and a Lot of Money: The Factors Driving the DeepSeek AI Turmoil",https://carnegieendowment.org/posts/2025/01/deepseek-ai-china-chips-explainer?lang=en,Carnegie Endowment for International Peace,1 week ago,Two experts discuss the Chinese AI startup that's causing global turbulence and what they're watching for in the coming weeks.
Trump says China's DeepSeek AI ‘should be a wake-up call’,https://www.nbcnews.com/tech/innovation/trump-china-deepseek-ai-wake-call-rcna189526,NBC News,1 week ago,President Donald Trump said Monday that the sudden rise of Chinese AI app DeepSeek “should be a wake-up call” for America's tech companies.
DeepSeek hit by cyberattack as users flock to Chinese AI startup,https://www.reuters.com/technology/artificial-intelligence/chinese-ai-startup-deepseek-overtakes-chatgpt-apple-app-store-2025-01-27/,Reuters,1 week ago,Jan 27 (Reuters) - Chinese startup DeepSeek said on Monday it will temporarily limit registrations due to a cyberattack after the company's AI assistant...
First Impressions of DeepSeek’s A.I. Chatbot,https://www.nytimes.com/2025/01/27/technology/deepseek-ai-chatbot-first-impressions.html,The New York Times,1 week ago,"A new chatbot created by the Chinese company DeepSeek is the talk of the A.I. world, and has sent a jolt through the U.S. stock market. Not only does it..."
Alibaba releases AI model it says surpasses DeepSeek,https://www.reuters.com/technology/artificial-intelligence/alibaba-releases-ai-model-it-claims-surpasses-deepseek-v3-2025-01-29/,Reuters,1 week ago,The unusual timing of the Qwen 2.5-Max's release points to the pressure DeepSeek's meteoric rise in the past three weeks has placed on overseas rivals and...
"What is DeepSeek AI? (Features, OpenAI Comparison, & More)",https://explodingtopics.com/blog/deepseek-ai,Exploding Topics,6 days ago,"Founded in 2023, DeepSeek began researching and developing new AI tools - specifically open-source large language models. Fast-forward less than two years,..."
DeepSeek AI: What you need to know about the ChatGPT rival,https://mashable.com/article/deepseek-ai-chatgpt-rival-what-to-know,Mashable,1 week ago,"In a matter of days, DeepSeek has surged to the top of AI industry consciousness. Here's why it's suddenly become a major threat to OpenAI and ChatGPT."
DeepSeek AI shakes American swagger and upends assumptions,https://www.bbc.com/news/articles/cd643wx888qo,BBC,1 week ago,"The speed at which the new Chinese AI app DeepSeek has shaken the technology industry, the markets and the bullish sense of American superiority in the..."
"Cloud Giants Offer DeepSeek AI, Restricted by Many Orgs, to Devs",https://virtualizationreview.com/Articles/2025/01/30/Cloud-Giants-Offer-DeepSeek-AI-Restricted-by-Many-Orgs.aspx,Virtualization Review,1 week ago,"Microsoft, Amazon and Google have all embraced new open-source DeepSeek AI technology from a Chinese company, despite its usage being banned by many..."
Italy Bans Chinese DeepSeek AI Over Data Privacy and Ethical Concerns,https://thehackernews.com/2025/01/italy-bans-chinese-deepseek-ai-over.html,The Hacker News,6 days ago,"Italy's data protection watchdog has blocked Chinese artificial intelligence (AI) firm DeepSeek's service within the country, citing a lack of information..."
China's DeepSeek AI dethrones ChatGPT on App Store: Here's what you should know,https://www.cnbc.com/2025/01/27/chinas-deepseek-ai-tops-chatgpt-app-store-what-you-should-know.html,CNBC,1 week ago,"The buzz around Chinese AI startup DeepSeek began picking up steam earlier this month, when the startup released R1, its model that rivals OpenAI's o1."
"What is DeepSeek, and why is it causing Nvidia and other stocks to slump?",https://www.cbsnews.com/news/what-is-deepseek-ai-china-stock-nvidia-nvda-asml/,CBS News,1 week ago,"Chinese startup DeepSeek has debuted an AI app that challenges OpenAI's ChatGPT and other U.S. rivals, sending a shock through Wall Street."
What DeepSeek Revealed About the Future of U.S.-China Competition,https://foreignpolicy.com/2025/02/03/deepseek-china-ai-artificial-intelligence-united-states-tech-competition/,Foreign Policy,3 days ago,"The Chinese start-up DeepSeek stunned the world and roiled stock markets last week with its release of DeepSeek-R1, an open-source generative artificial..."
Here's what DeepSeek AI does better than OpenAI's ChatGPT,https://mashable.com/article/deepseek-ai-vs-openai-chatgpt,Mashable,1 week ago,"DeepSeek, a new open-source AI model from China, is disrupting the tech industry by outperforming Big Tech models like ChatGPT in technical tasks and..."
"DeepSeek AI Database Exposed: Over 1 Million Log Lines, Secret Keys Leaked",https://thehackernews.com/2025/01/deepseek-ai-database-exposed-over-1.html,The Hacker News,1 week ago,"Buzzy Chinese artificial intelligence (AI) startup DeepSeek, which has had a meteoric rise in popularity in recent days, left one of its databases exposed..."
"DeepSeek AI raises national security concerns, U.S. officials say",https://www.cbsnews.com/news/deepseek-ai-raises-national-security-concerns-trump/,CBS News,1 week ago,"As Chinese AI application DeepSeek attracts hordes of American users, Trump administration officials, lawmakers and cybersecurity experts are expressing..."
US tech shares recover some losses from steep DeepSeek selloff,https://www.reuters.com/technology/tech-stock-selloff-deepens-deepseek-triggers-ai-rethink-2025-01-28/,Reuters,1 week ago,"NEW YORK/BENGALURU/LONDON, Jan 28 (Reuters) - Technology shares on Tuesday regained some ground lost with AI chip leader Nvidia (NVDA."
Scientists flock to DeepSeek: how they’re using the blockbuster AI model,https://www.nature.com/articles/d41586-025-00275-0,Nature,1 week ago,Researchers are testing how well the open model can perform scientific tasks — in topics from mathematics to cognitive neuroscience.
"Chinese state-linked accounts hyped DeepSeek AI launch ahead of US stock rout, Graphika says",https://www.reuters.com/technology/artificial-intelligence/chinese-state-linked-accounts-hyped-deepseek-ai-launch-ahead-us-stock-rout-2025-01-31/,Reuters,6 days ago,"NEW YORK, Jan 30 (Reuters) - Chinese state-linked social media accounts amplified narratives celebrating the launch of Chinese startup DeepSeek's AI models..."
DeepSeek is bad for Silicon Valley. But it might be great for you.,https://www.vox.com/technology/397330/deepseek-openai-chatgpt-gemini-nvidia-china,Vox,1 week ago,"The DeepSeek saga that's transforming AI, explained."
"How DeepSeek stacks up against popular AI models, in three charts",https://www.nbcnews.com/data-graphics/deepseek-ai-comparison-openai-chatgpt-google-gemini-meta-llama-rcna189568,NBC News,1 week ago,The Chinese artificial intelligence model's innovative design allows it to outperform other popular models at significantly lower costs.
"China's DeepSeek AI rattles Wall Street, but questions remain",https://www.voanews.com/a/china-s-deepseek-ai-rattles-wall-street-but-questions-remain-/7952661.html,Voice of America English News,1 week ago,Chinese researchers backed by a Hangzhou-based hedge fund recently released a new version of a large language model (LLM) called DeepSeek-R1 that rivals the...
DeepSeek says it built its chatbot cheap. What does that mean for AI's energy needs and the climate?,https://apnews.com/article/deepseek-ai-china-climate-fossil-fuels-00c594310b22afbf150559d08b43d3a5,AP News,1 week ago,Chinese artificial intelligence startup DeepSeek stunned markets and AI experts with its claim that it built its immensely popular chatbot at a fraction of...
